product_id,product_name,category,sub_category,brand,supplier_id,cost_price,selling_price,currency,weight,weight_unit,launch_date,is_discontinued,created_at
1,Speak,,south,Brand B,186,331.3,594.35,INR,17.52,lbs,2021-09-05,False,2025-02-05 05:52:00
2,Situation,Furniture,civil,Brand-C,959,164.26,293.19,INR,18.01,kg,2024-10-30,False,2025-12-17 10:49:08
3,Despite,Grocery,get,brandA,158,235.29,301.22,INR,12.46,kg,2021-08-15,False,2025-03-19 12:54:09
4,Change,Grocery,poor,Brand B,123,316.38,427.53,INR,17.96,lbs,2024-06-21,False,2025-12-16 09:14:39
5,How,Sports,behind,BrandA,406,274.4,462.92,USD,16.15,kg,2022-09-06,False,2022-10-01 02:40:52
6,Current,Grocery,sister,Brand B,994,413.42,656.49,EUR,9.62,lbs,2022-10-26,False,2020-07-18 04:55:24
7,Worry,Electronics,finally,Brand B,36,147.94,201.27,USD,6.19,kg,2023-11-24,False,2020-02-10 04:26:36
8,Stay,Grocery,physical,brandA,958,447.29,614.72,INR,6.03,kg,2022-08-10,False,2023-09-25 21:16:27
9,Involve,Grocery,early,BrandA,180,479.33,661.12,USD,16.75,kg,2025-01-10,False,2023-03-20 06:30:00
10,From,,until,brandA,99,469.03,689.68,INR,18.95,lbs,2025-03-24,False,2024-09-04 03:07:43
11,Decide,Clothing,chance,Brand-C,909,315.8,437.91,EUR,10.2,kg,2025-03-28,False,2022-12-01 14:08:13
12,Already,Clothing,general,Brand-C,354,270.71,421.49,INR,19.7,kg,2025-01-10,False,2024-01-28 06:33:01
13,Act,Clothing,loss,Brand-C,733,309.07,402.46,INR,19.29,kg,2024-09-06,False,2022-04-15 04:17:42
14,Serious,Clothing,fear,Brand-C,696,454.29,559.77,EUR,14.46,lbs,2023-08-20,False,2020-01-16 15:14:21
15,Against,Grocery,event,brandA,694,300.76,423.79,USD,15.1,lbs,2022-01-02,False,2020-06-14 11:06:15
16,And,,too,brandA,383,49.87,58.08,EUR,4.52,lbs,2021-01-07,False,2021-09-04 20:53:20
17,Ok,Furniture,perhaps,brandA,883,489.79,570.79,USD,10.66,lbs,2020-08-15,True,2021-02-20 09:10:28
18,Any,Sports,born,Brand-C,950,487.37,640.21,EUR,8.61,lbs,2022-01-10,False,2024-04-21 13:53:34
19,Future,Electronics,difficult,Brand B,101,66.61,108.44,INR,3.82,lbs,2025-02-16,True,2021-02-20 22:51:05
20,Many,Clothing,little,BrandA,430,326.22,474.06,USD,16.21,lbs,2025-09-04,False,2021-11-26 18:52:37
21,If,Clothing,each,brandA,735,355.96,497.5,EUR,12.59,kg,2022-08-05,False,2021-05-01 00:01:22
22,Know,Grocery,happen,BrandA,660,484.69,829.33,INR,16.42,lbs,2024-12-24,False,2023-01-01 12:06:59
23,Remember,Electronics,sea,BrandA,722,141.87,200.06,USD,19.27,kg,2020-02-27,False,2025-01-08 00:33:38
24,Into,Grocery,usually,Brand B,667,69.68,88.0,USD,4.53,kg,2024-06-07,False,2023-07-31 03:58:56
25,None,,look,brandA,180,300.08,463.69,USD,4.71,kg,2023-05-08,False,2022-11-27 05:24:46
26,Avoid,Electronics,if,Brand B,502,486.24,770.54,USD,13.61,kg,2022-08-08,False,2023-12-05 02:31:50
27,Soldier,Grocery,capital,brandA,625,497.38,604.64,USD,19.36,lbs,2024-10-18,True,2023-09-14 09:50:52
28,Hit,,book,BrandA,91,101.67,136.2,INR,15.77,kg,2020-03-16,False,2025-04-12 01:11:38
29,Cup,Sports,red,Brand-C,808,85.03,109.81,INR,0.27,lbs,2025-11-01,False,2022-03-26 08:41:23
30,Inside,Clothing,soldier,BrandA,572,115.94,130.25,USD,2.4,lbs,2023-09-09,False,2020-04-13 23:50:33
31,Into,Furniture,away,Brand B,317,43.94,50.5,USD,4.56,lbs,2022-02-11,False,2020-05-03 19:53:43
32,Can,Sports,prevent,brandA,820,153.29,264.81,INR,19.43,lbs,2023-05-31,False,2022-03-14 21:00:55
33,On,Sports,speak,Brand-C,488,128.17,229.7,USD,17.46,kg,2021-09-25,False,2022-01-06 23:25:57
34,Ask,Grocery,he,Brand B,455,386.75,475.92,EUR,7.2,kg,2023-06-01,False,2022-07-09 17:38:54
35,Tonight,Grocery,threat,Brand B,851,390.32,510.22,INR,1.61,kg,2024-09-28,False,2022-07-13 10:23:20
36,Foreign,Electronics,window,brandA,249,67.02,110.92,USD,4.01,lbs,2020-07-27,False,2023-07-03 15:27:52
37,Keep,Clothing,face,Brand B,645,307.51,431.74,USD,2.67,lbs,2022-09-30,False,2021-10-30 14:44:41
38,Perform,Clothing,above,Brand-C,415,268.71,354.73,USD,6.59,lbs,2023-06-04,False,2022-07-12 16:52:45
39,Admit,Grocery,effort,Brand B,632,130.55,213.57,INR,8.63,lbs,2021-05-20,True,2022-10-15 17:17:04
40,Leave,Electronics,opportunity,Brand B,398,203.08,337.3,USD,8.0,lbs,2020-12-01,False,2022-05-07 12:11:49
41,Wonder,Clothing,though,Brand-C,212,148.96,169.31,INR,1.74,lbs,2024-04-20,False,2022-08-18 05:25:12
42,Certain,,imagine,Brand B,382,126.3,203.88,INR,11.38,kg,2020-02-24,False,2025-01-21 16:29:02
43,Role,Grocery,fish,BrandA,912,146.41,171.58,USD,2.42,lbs,2022-12-20,False,2022-06-21 18:43:17
44,Live,Sports,forget,brandA,800,131.37,163.72,EUR,10.23,kg,2023-12-30,False,2025-03-30 19:16:54
45,Because,Grocery,far,Brand B,979,54.42,81.5,EUR,13.29,kg,2023-09-04,False,2023-11-26 02:51:57
46,Religious,,bill,brandA,260,70.86,96.02,USD,14.43,kg,2024-08-12,False,2023-11-24 11:16:11
47,Building,Grocery,discussion,BrandA,958,121.59,217.73,EUR,17.77,kg,2024-02-02,False,2025-05-11 20:35:51
48,Only,Grocery,professional,brandA,452,310.14,388.52,USD,10.6,kg,2025-12-11,False,2024-06-01 16:19:17
49,Other,Furniture,someone,Brand-C,19,181.77,204.04,EUR,19.47,lbs,2022-12-14,False,2025-03-17 05:39:25
50,Class,Electronics,lead,brandA,204,498.37,707.72,USD,11.47,kg,2023-09-13,False,2022-09-26 07:47:39
51,Garden,Grocery,rule,Brand B,57,120.22,166.67,INR,13.2,kg,2022-11-18,False,2023-05-11 14:22:58
52,Huge,Furniture,power,Brand-C,681,38.22,62.95,INR,12.27,lbs,2022-04-23,False,2025-12-18 09:32:54
53,Between,Sports,good,brandA,588,466.42,724.98,INR,3.39,lbs,2025-12-09,False,2024-12-10 12:10:48
54,During,,clear,Brand B,839,129.03,155.69,EUR,7.94,kg,2025-10-20,False,2024-01-07 16:22:05
55,Class,Electronics,between,Brand-C,614,438.19,768.95,INR,16.81,lbs,2024-07-12,True,2023-12-05 13:17:31
56,Into,Clothing,fire,Brand B,695,325.04,401.57,USD,4.07,kg,2020-01-23,False,2022-06-30 15:44:14
57,Expert,Grocery,indicate,brandA,423,442.3,526.97,USD,5.43,kg,2022-12-21,False,2025-09-14 10:59:54
58,Church,Electronics,key,BrandA,450,326.24,388.71,EUR,8.36,kg,2021-11-12,False,2022-11-24 01:22:31
59,Author,Sports,traditional,Brand-C,369,214.39,322.8,INR,19.15,lbs,2023-05-31,False,2022-05-16 20:28:17
60,Tv,Electronics,check,BrandA,389,380.3,572.89,EUR,5.79,lbs,2021-12-19,False,2020-01-05 04:35:08
61,Somebody,Furniture,born,Brand B,376,34.26,-46.79,EUR,17.61,lbs,2020-11-02,True,2023-07-17 21:18:39
62,Series,Furniture,appear,Brand-C,229,49.05,74.62,INR,18.33,kg,2025-07-19,False,2025-06-14 19:29:18
63,Election,Clothing,strong,brandA,44,127.96,220.52,INR,15.33,lbs,2024-11-11,False,2022-12-30 21:09:46
64,Than,,seek,Brand-C,936,264.86,399.81,INR,17.92,lbs,2023-09-29,False,2023-05-25 12:38:51
65,Something,Sports,on,Brand-C,305,31.39,41.75,EUR,10.93,kg,2023-05-24,False,2020-06-28 12:15:35
66,Film,Sports,range,Brand-C,931,186.2,330.11,INR,2.32,lbs,2025-10-07,False,2024-10-05 17:14:12
67,Wife,Electronics,campaign,brandA,905,401.33,476.4,INR,16.71,lbs,2023-12-13,False,2025-11-17 06:34:54
68,Plan,Furniture,never,Brand-C,246,25.66,38.19,INR,3.57,lbs,2023-01-09,False,2025-09-22 10:15:25
69,House,,ever,Brand-C,208,492.77,542.4,INR,14.41,kg,2025-01-13,False,2024-10-14 00:25:42
70,Leave,Electronics,current,brandA,31,219.65,291.76,INR,5.09,kg,2022-11-24,False,2020-10-14 02:47:42
71,Memory,Electronics,question,brandA,813,155.9,222.11,USD,8.83,lbs,2020-02-22,False,2024-07-07 03:43:09
72,Simple,Furniture,leg,BrandA,742,295.17,363.6,USD,17.14,kg,2025-07-08,False,2023-07-09 02:00:06
73,Ball,Furniture,the,Brand-C,954,44.09,74.41,INR,3.32,lbs,2022-01-20,False,2025-11-13 20:37:52
74,Research,Sports,second,brandA,158,286.95,340.99,EUR,15.65,kg,2023-08-14,False,2025-05-09 04:20:46
75,Word,Grocery,somebody,Brand B,803,358.93,555.57,EUR,19.43,kg,2023-02-24,False,2020-11-28 22:11:32
76,Indeed,Clothing,century,Brand B,851,304.25,338.59,EUR,16.93,lbs,2025-01-18,False,2021-11-06 23:12:35
77,Themselves,Furniture,three,brandA,327,336.35,580.05,EUR,10.93,kg,2020-01-17,False,2021-09-23 21:09:18
78,Spend,Clothing,strategy,BrandA,832,265.1,421.75,EUR,15.99,lbs,2023-12-31,False,2025-03-29 01:57:20
79,Agency,Sports,poor,BrandA,774,436.04,551.96,INR,16.75,kg,2021-06-27,False,2024-06-26 02:25:04
80,Continue,Furniture,election,BrandA,355,94.56,126.69,INR,7.53,lbs,2023-07-17,False,2020-10-04 08:31:11
81,Sell,Clothing,beyond,BrandA,888,159.39,261.5,EUR,14.05,lbs,2024-05-23,False,2025-09-07 14:04:24
82,Leader,,live,BrandA,520,9.02,11.36,USD,8.79,lbs,2021-11-27,False,2025-03-08 10:51:32
83,Process,Grocery,table,brandA,216,49.03,57.09,INR,15.47,kg,2020-10-02,False,2024-03-09 10:01:16
84,Car,Clothing,represent,Brand B,158,392.37,552.44,EUR,12.81,kg,2023-07-15,False,2020-01-27 17:25:05
85,Go,Electronics,indicate,Brand-C,993,367.76,572.78,INR,19.04,lbs,2022-05-14,False,2025-06-03 11:32:06
86,Glass,,hundred,Brand-C,11,367.44,-416.8,EUR,7.38,lbs,2023-07-08,False,2025-08-13 02:02:28
