store_id,store_name,store_type,city,state,country,region,latitude,longitude,opening_date,manager_name,store_size_sqft,is_active
1,Store_1,Warehouse,North Angelashire,New Mexico,UK,North,-10.3639275,155.520269,2024-09-12,Joshua Pacheco,12673,True
2,Store_2,Retail,Knappborough,Connecticut,India,West,37.2625455,27.766856,2023-07-27,Heather King,18007,True
3,Store_3,Warehouse,North Travis,Florida,UK,East,-47.622268,-13.105641,2025-11-11,Paula Jackson,4391,True
4,Store_4,Online,East Katrina,New Mexico,India,East,29.7704385,-154.278170,2021-04-19,Sophia Savage,2539,True
5,Store_5,Warehouse,East Danielmouth,Nevada,UK,South,-17.8291245,-25.381791,2022-10-08,Adam Allen,17933,True
6,Store_6,Warehouse,Port Samanthastad,Utah,India,East,-61.6885455,33.930818,2020-04-24,Brittany Johnson,5426,True
7,Store_7,Warehouse,Port Matthewport,Massachusetts,India,South,8.512429,-113.918629,2025-07-08,Kayla Christian,5088,True
8,Store_8,Retail,East Jamesmouth,Georgia,USA,East,-33.0176205,-115.803691,2020-05-20,Kayla Landry,4312,True
9,Store_9,Online,South Ashleyview,Texas,UK,West,17.559718,-67.534430,2020-05-27,Jesus Caldwell,14594,True
10,Store_10,Online,Marybury,Nebraska,India,West,-38.0187395,-73.032272,2024-06-29,Tammy Perez,1940,True
11,Store_11,Warehouse,Nicholasburgh,Virginia,India,North,-79.3789225,166.122183,2020-10-09,Melinda Collins DDS,5872,True
12,Store_12,Warehouse,Lake Sydney,Utah,India,East,42.423315,-113.427275,2021-10-31,Ronald Martinez,9908,False
13,Store_13,Warehouse,Port Charles,North Dakota,UK,West,3.9983515,-141.009223,2023-11-15,Douglas Walker,16925,True
14,Store_14,Online,Lake Harryshire,Tennessee,UK,South,-58.1132825,155.600060,2024-06-06,Cody Holmes,17545,True
15,Store_15,Online,Port Teresaland,Nevada,UK,West,-42.196246,-142.932397,2022-09-20,Richard Davis,9980,True
16,Store_16,Warehouse,Cruzhaven,Pennsylvania,USA,West,-61.9460715,94.277170,2020-03-16,Crystal Tanner,9137,True
17,Store_17,Online,North Michael,Wisconsin,India,North,29.146671,137.596338,2023-09-25,Christopher Gonzalez,5491,True
18,Store_18,Online,Eduardoville,New Mexico,UK,West,37.594794,-63.454634,2022-09-29,Chad Clark,9338,True
19,Store_19,Online,Hineshaven,New York,India,North,-68.198975,-140.934808,2024-08-25,Katelyn Bautista,15094,True
20,Store_20,Online,West Sarahfurt,New York,UK,South,54.106484,-179.259876,2024-10-04,Erin Holloway,6766,True
21,Store_21,Online,North Kaitlinborough,New Mexico,USA,North,-60.265352,132.148069,2022-05-24,Jennifer Sherman,16528,True
22,Store_22,Retail,West Morganfort,North Dakota,USA,South,-4.180555,,2021-05-06,George Mahoney,14656,True
23,Store_23,Warehouse,Josephmouth,Alabama,USA,South,-67.324895,112.066603,2022-07-11,Anna Palmer,19973,True
24,Store_24,Online,West Stephanie,Maine,India,South,-67.505919,-178.975296,2024-01-17,Michelle Greer,16134,True
25,Store_25,Warehouse,Kennethberg,Nevada,USA,West,,40.083754,2022-06-28,William Johnson,1846,True
26,Store_26,Warehouse,Richardtown,Illinois,India,East,-51.125540,105.735629,2021-11-21,William Waters,10703,True
27,Store_27,Online,Solisfort,Alabama,UK,North,-67.9296285,-71.878043,2021-05-26,Tyler Hernandez,17968,False
28,Store_28,Online,Lake Candace,Nebraska,USA,South,-42.4141965,-149.768142,2020-01-10,James Carter,14261,False
29,Store_29,Warehouse,Charleshaven,Maryland,USA,West,-54.441125,-11.692032,2023-06-29,Kevin Murray,16652,True
30,Store_30,Warehouse,Scotthaven,Oklahoma,UK,South,-8.471647,118.293564,2025-05-15,Suzanne Harris,8547,False
31,Store_31,Retail,Beltranmouth,Illinois,UK,South,-22.667590,64.184721,2025-04-14,Michael Gonzalez,4469,True
32,Store_32,Online,East Dorisshire,Colorado,India,West,-78.8034735,-177.382376,2024-12-28,James Chandler,8078,True
33,Store_33,Warehouse,Lake Lacey,North Dakota,India,West,-0.6256245,55.334136,2022-05-01,Cristina Robinson,14534,False
34,Store_34,Warehouse,West Courtneystad,Kentucky,UK,East,16.954754,-62.586331,2023-11-15,Jessica Potts,7416,True
35,Store_35,Warehouse,Jacobview,Pennsylvania,UK,South,-40.2006495,106.870173,2025-01-03,Dana Pearson,10725,True
36,Store_36,Online,Lake Kathleen,Delaware,India,West,-62.4178875,110.882520,2025-12-08,Bonnie Wilson,6875,False
37,Store_37,Retail,West Bryanshire,Nevada,USA,East,-52.7116885,-122.738257,2024-04-30,Jorge Saunders,17026,True
38,Store_38,Retail,Port Zachary,Kentucky,UK,East,89.4280455,-0.932087,2022-06-15,Adriana Gray,1633,True
39,Store_39,Retail,Williamchester,Hawaii,UK,South,4.0664585,-139.277054,2024-02-05,Dr. Julia Jacobson,15900,True
40,Store_40,Warehouse,Lake Michael,Michigan,UK,North,26.947452,86.647785,2024-01-12,Ricardo Holloway,6272,True
41,Store_41,Online,Port Daniel,Missouri,USA,North,75.4562225,178.830240,2022-05-21,Troy Davis,8012,True
42,Store_42,Warehouse,South Michelleland,Illinois,UK,North,,-158.837491,2025-10-21,Zachary Mcdonald,10519,True
43,Store_43,Warehouse,Kellymouth,Iowa,USA,South,-22.255459,-39.008704,2024-06-10,Timothy Taylor,3478,False
44,Store_44,Online,North Joseph,Arkansas,USA,East,-21.3120225,-47.655851,2024-11-15,Jeffrey Harmon,1516,False
45,Store_45,Retail,Port Virginia,Kentucky,India,South,-40.218912,-105.342448,2022-07-13,Lisa Mccoy,18748,False
46,Store_46,Warehouse,Bellside,Alabama,USA,West,-84.5611995,-85.254206,2020-08-04,Jason Wilson,7568,False
47,Store_47,Warehouse,Gutierrezchester,Florida,USA,South,-15.426778,-130.868429,2022-04-16,Melissa Burgess,17333,True
48,Store_48,Retail,Thompsonchester,Florida,India,West,-89.2667405,151.065541,2025-11-29,Bryan Hudson,988,True
49,Store_49,Retail,Phillipsside,Wyoming,UK,West,10.0227175,39.682453,2024-02-20,Kyle Boyd,7347,True
50,Store_50,Online,Websterfurt,Maryland,India,East,-21.467608,20.971122,2020-01-07,Christina Brown,11977,False
51,Store_51,Warehouse,Port Patriciafurt,Ohio,UK,North,71.7365055,-12.209374,2024-04-13,Dakota Norton,8792,True
52,Store_52,Warehouse,Port Hollyfurt,California,USA,East,,170.611451,2024-06-13,Eric Johnson,1934,False
53,Store_53,Online,East Joseph,Louisiana,USA,North,4.6860725,-95.673747,2022-12-08,John Keith,13801,False
54,Store_54,Online,Cookborough,Wyoming,USA,East,31.557841,-174.746180,2020-12-20,Kaitlyn Fernandez,4527,True
55,Store_55,Warehouse,Myersville,New York,USA,East,-84.9389825,-179.944428,2020-12-25,Megan White,19715,False
56,Store_56,Online,Stevenfort,South Carolina,USA,West,-37.1340615,141.767955,2025-04-03,Tracy Rodriguez,11228,False
57,Store_57,Retail,Sweeneymouth,Montana,USA,West,15.9094055,-72.346215,2022-02-10,Christian Garcia,10980,True
58,Store_58,Retail,Natalieside,Texas,UK,South,54.8960285,81.263494,2025-02-21,Megan Castro,19947,True
59,Store_59,Warehouse,Smithside,Nevada,USA,North,7.090956,-26.395642,2025-04-17,Kaitlyn Doyle MD,3521,False
60,Store_60,Retail,New Robertmouth,Alaska,USA,North,-6.4784615,112.731429,2021-05-14,Joseph Johnson,6899,False
61,Store_61,Retail,Debbietown,Alaska,USA,South,-76.860394,-146.546286,2021-02-15,James Sawyer,874,False
62,Store_62,Warehouse,South Mollyton,Arizona,UK,North,46.651647,123.016647,2023-10-15,Amber Barnes,15063,True
63,Store_63,Warehouse,East David,New Mexico,USA,West,27.3258795,70.711851,2023-10-10,Andrew Warren,4117,False
64,Store_64,Retail,West Dominique,Hawaii,India,East,-17.6737385,,2024-06-12,Ms. Jessica Gonzalez,7165,True
65,Store_65,Warehouse,Zacharyberg,New Mexico,India,West,-46.484609,-104.279010,2025-02-28,Austin White,19501,True
66,Store_66,Online,West Danielville,Kentucky,India,West,-51.6571235,27.322278,2023-11-22,Joshua Obrien,7408,False
67,Store_67,Online,Angelaberg,California,UK,East,36.288768,136.034597,2023-12-22,Cathy Hobbs,2830,True
68,Store_68,Retail,South Brendashire,Nebraska,USA,East,-7.565381,-110.128953,2021-10-08,Heidi Phillips,11572,False
69,Store_69,Online,Port Jacqueline,California,UK,West,-22.131259,45.871792,2020-08-23,Leah Lewis,5302,True
70,Store_70,Warehouse,North Crystal,Michigan,USA,East,-20.948652,154.916041,2022-11-17,Sandra Moran,18548,False
71,Store_71,Warehouse,East Rogerport,Florida,India,West,37.483343,51.389495,2023-06-19,Joseph Fields,14098,False
72,Store_72,Warehouse,Justinburgh,Nevada,UK,East,-7.969655,-148.863964,2024-08-31,Joshua Richardson,14232,True
73,Store_73,Online,East Jacobfurt,Maine,India,North,75.2316675,70.273990,2022-04-06,Eileen Martinez,13273,True
74,Store_74,Retail,Glennport,Tennessee,USA,East,-71.338062,56.319676,2024-04-29,James Adams,861,False
75,Store_75,Online,North Kevinfort,Pennsylvania,India,North,-25.300622,-85.931079,2024-05-29,Ashley Smith,17228,False
76,Store_76,Retail,Lopezport,Missouri,UK,North,2.9676755,117.767914,2024-06-29,Larry Cunningham DVM,1977,False
77,Store_77,Retail,Billyhaven,Wisconsin,USA,West,-20.8975985,22.520950,2025-09-10,Stephanie Clark,3932,True
78,Store_78,Retail,West Johnmouth,Kentucky,India,North,-7.580894,-97.572018,2021-08-09,Jeremy Long,8572,True
79,Store_79,Retail,Schmidtmouth,Indiana,UK,North,54.7545175,8.306978,2023-03-28,Gary Decker,4574,True
80,Store_80,Online,Port Katherinebury,North Carolina,UK,East,,125.710042,2025-03-19,Timothy Robles,11798,True
81,Store_81,Online,West Alexandraview,Washington,USA,East,-15.547305,-6.062809,2023-09-13,Colleen Torres,7027,False
82,Store_82,Warehouse,West Williestad,Texas,USA,West,75.546398,-74.734863,2022-06-24,Austin English,12834,True
83,Store_83,Online,Nicoleport,Ohio,UK,North,-44.4403415,,2020-12-10,Charlene Jones,15496,True
84,Store_84,Warehouse,East Nancymouth,Iowa,USA,West,-17.370857,,2025-05-29,Jeffery Lynch,13484,True
85,Store_85,Retail,North Kelsey,Montana,UK,West,,84.777086,2023-08-25,Cynthia Franklin,16752,False
86,Store_86,Retail,Josephside,Alaska,UK,North,51.213124,61.333124,2021-02-19,Jordan Nichols,1953,True
87,Store_87,Retail,Johnmouth,Oregon,UK,South,,-90.918659,2022-06-13,Nathaniel Rhodes,13730,True
88,Store_88,Warehouse,West Shawn,Texas,USA,West,-55.1003255,85.312869,2021-02-24,Dr. Joseph Clark,7366,False
89,Store_89,Warehouse,South Dustin,Alabama,India,North,6.6766055,40.982377,2025-11-20,Susan Graham,1548,True
90,Store_90,Warehouse,Brooksmouth,Idaho,UK,North,-76.676984,-15.395103,2021-12-15,George Dillon,17710,True
91,Store_91,Online,Cookeview,Kansas,India,South,-58.8639395,76.995134,2022-08-14,Mr. Thomas Bridges,15569,True
